site_id,local_id,asset_id,x_make,x_model,asset_type,x_tonnage,x_evap_hp,x_eer,x_refrig_type,year,age,x_economizer,x_vfd,x_cmp_stg,x_condition,strategy,cost,n_make,n_model,n_tonnage,n_evap_hp,n_eer,n_economizer,n_vfd,n_cmp_stg
Shawnee,158,Shawnee-158,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,159,Shawnee-159,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,160,Shawnee-160,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,161,Shawnee-161,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,162,Shawnee-162,Carrier,50TC-D12A2A6A0A0A0,PKG,10,3.7,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,50TC-D12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,151,Shawnee-151,Carrier,48TCF012A2A6A0A0A0,PKG,10,3.7,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,48TCF012A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,
Shawnee,152,Shawnee-152,Carrier,48TCFD12A2A6-0A0A0,PKG,10,3.7,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,48TCFD12A2A6-0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,163,Shawnee-163,Carrier,48TCFD12A2A6A0A0A0,PKG,10,3.7,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,48TCFD12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,164,Shawnee-164,Carrier,48TCFD12A2A6A0A0A0,PKG,10,3.7,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,48TCFD12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Shawnee,165,Shawnee-165,Carrier,48TCFD12A2A6A0A0A0,PKG,10,3.7,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,48TCFD12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
